연번,호선,역명,소요시간,역간거리(km),호선별누계(km),위도,경도
1,1,서울역,00:00,0.0,0.0,37.55597933890212,126.97209238331357
2,1,시청,02:00,1.1,1.1,37.56534539636417,126.97719821079863
3,1,종각,02:00,1.0,2.1,37.57022799091224,126.98315081716676
4,1,종로3가,01:30,0.8,2.9,37.570420844523,126.992153252476
5,1,종로5가,01:30,0.9,3.8,37.57097610838373,127.00153834521934
6,1,동대문,01:30,0.8,4.6,37.5616038910656,127.06370373106944
7,1,동묘앞,01:00,0.6,5.2,37.5732166600283,127.016364227103
8,1,신설동,01:30,0.7,5.9,37.5760299683175,127.024456700382
9,1,제기동,01:30,0.9,6.8,37.57817349658033,127.03494949507864
10,1,청량리,01:30,1.0,7.8,37.580037056302906,127.04472723023304
11,2,시청,00:00,0.0,0.0,37.56534539636417,126.97719821079863
12,2,을지로입구,01:30,0.7,0.7,37.56603551771296,126.9821953112953
13,2,을지로3가,01:00,0.8,1.5,37.56629149790628,126.99098443539428
14,2,을지로4가,01:00,0.6,2.1,37.5666405038268,126.997632059113
15,2,동대문역사문화공원,01:30,1.0,3.1,37.56566440553802,127.00900417014896
16,2,신당,01:30,0.9,4.0,37.5545053994984,127.010891666957
17,2,상왕십리,01:00,0.9,4.9,,
18,2,왕십리,01:00,0.8,5.7,37.561268363317176,127.03710337610202
19,2,한양대,01:30,1.0,6.7,37.5557159860408,127.043639802768
20,2,뚝섬,01:30,1.1,7.8,37.547241554679,127.04738727881
21,2,성수,01:00,0.8,8.6,37.547241554679,127.04738727881
22,2,건대입구,01:30,1.2,9.8,37.54040751726388,127.06920291650827
23,2,구의,02:00,1.6,11.4,37.5351180385975,127.094741101863
24,2,강변,01:00,0.9,12.3,37.5351180385975,127.094741101863
25,2,잠실나루,02:00,1.8,14.1,37.5207124124456,127.103808749487
26,2,잠실,01:30,1.0,15.1,37.5116263587296,127.086314327913
27,2,잠실새내,01:30,1.2,16.3,37.5116263587296,127.086314327913
28,2,종합운동장,01:30,1.2,17.5,37.5111446632705,127.073849447402
29,2,삼성,01:30,1.0,18.5,37.508822740225305,127.06302321147604
30,2,선릉,01:30,1.3,19.8,37.504497373023206,127.04896282498558
31,2,역삼,01:30,1.2,21.0,37.49808633653005,127.02800140627488
32,2,강남,01:00,0.8,21.8,37.49808633653005,127.02800140627488
33,2,교대,01:30,1.2,23.0,37.4927431676548,127.013867969161
34,2,서초,01:00,0.7,23.7,37.4927431676548,127.013867969161
35,2,방배,02:00,1.7,25.4,37.481426,126.997596
36,2,사당,02:30,1.6,27.0,37.47656223234824,126.98155858357366
37,2,낙성대,02:00,1.7,28.7,37.4770932409965,126.963523905001
38,2,서울대입구,01:30,1.0,29.7,37.4812845080678,126.952713197762
39,2,봉천,01:00,1.0,30.7,37.4770932409965,126.963523905001
40,2,신림,01:30,1.1,31.8,37.48426713514037,126.9297453749671
41,2,신대방,02:00,1.8,33.6,37.48765046104574,126.91350747615148
42,2,구로디지털단지,01:30,1.1,34.7,37.4852605752505,126.901473080039
43,2,대림,01:30,1.1,35.8,37.4928430008915,126.896722858042
44,2,신도림,02:30,1.8,37.6,37.508908482648,126.891312500851
45,2,문래,02:00,1.2,38.8,37.5179757181801,126.894778820701
46,2,영등포구청,01:00,0.9,39.7,37.5258305311402,126.89667739939
47,2,당산,01:30,1.1,40.8,37.5347843171332,126.902611795523
48,2,합정,02:30,2.0,42.8,37.54991315995173,126.91445406513526
49,2,홍대입구,01:30,1.1,43.9,37.5568707448873,126.923778562273
