전철역코드,전철역명,전철명명(영문),호선,외부코드,전철명명(중문),전철명명(일문),위도,경도
1002,남영,Namyeong,01호선,134,南?,ナミョン,37.540566672483216,126.97133096608212
1710,의왕,Uiwang,01호선,P152,儀王,ウィワン,37.3203421132836,126.9479765012
1905,회룡,Hoeryong,01호선,111,回?,フェリョン,37.7238058806629,127.047295368138
1906,의정부,Uijeongbu,01호선,110,?政府,ウィジョンブ,37.7383624923599,127.045956826767
1908,녹양,Nogyang,01호선,108,??,ノギャン,37.759385253302,127.042279351606
1021,녹천,Nokcheon,01호선,117,鹿川,ノクチョン,37.644633445567656,127.05138201885734
1909,양주,Yangju,01호선,107,?州,ヤンジュ,37.7741421622165,127.044721319691
1005,대방,Daebang,01호선,137,大方,テバン,37.499757228908564,126.92821094566965
1912,지행,Jihaeng,01호선,104,?杏,チヘン,37.892342734325595,127.05579309162063
1904,망월사,Mangwolsa,01호선,112,望月寺,マンウォルサ,37.7102191609902,127.047418285506
1729,당정,Dangjeong,01호선,P151,堂井,タンジョン,37.343689819399884,126.94837119045768
1407,온양온천,Onyang oncheon,01호선,P176,???泉,オニャンオンチョン,36.7805448837693,127.003181472942
1006,영등포,Yeongdeungpo,01호선,139,永登浦,ヨンドゥンポ,37.5211700890445,126.92466104293
1402,쌍용,Ssangyong,01호선,P171,??,サンヨン,36.7937257780754,127.121378271233
1715,세류,Seryu,01호선,P156,?柳,セリュ,37.243872520123844,127.01379969649852
1716,병점,Byeongjeom,01호선,P157,?店,ピョンチョム,,
1718,오산대,Osan College,01호선,P159,?山大?,オサンデ,37.1693504386917,127.063075726398
1750,광명,Gwangmyeong,01호선,P144-1,光明,クァンミョン,37.4761928424537,126.868211027014
1803,역곡,Yeokgok,01호선,146,?谷,ヨッコク,37.48531525961914,126.81205931841492
1404,탕정,Tangjeong,01호선,P173,?井,タンジョン,36.7882087107804,127.08439248328
1007,신도림,Sindorim,01호선,140,新道林,シンドリム,37.508908482648,126.891312500851
1706,안양,Anyang,01호선,P147,安?,アニヤン,37.39423950914369,126.9638080221341
1032,신길,Singil,01호선,138,新吉,シンギル,37.51678703217714,126.91836721069228
1020,월계,Wolgye,01호선,118,月溪,ウォルゲ,37.61500552731744,127.06568946412851
1019,광운대,Kwangwoon Univ.,01호선,119,光云大,光云大,37.6238373628149,127.061695160651
1016,외대앞,Hankuk Univ. of Foreign Studies,01호선,122,??外??大?,ウェデアプ,37.596274142656114,127.06369251145765
1004,노량진,Noryangjin,01호선,136,?梁津,ノリャンジン,37.5135856714992,126.940893179777
1003,용산,Yongsan,01호선,135,?山,ヨンサン,37.5345252050511,126.994333861918
1403,아산,Asan,01호선,P172,牙山,アサン,36.7805448837693,127.003181472942
1401,봉명,Bongmyeong,01호선,P170,??,ポンミョン,36.3537203343187,127.341445807064
1723,평택지제,PyeongtaekJije,01호선,P164,平?芝制,ピョンテクチジェ,37.01890215095567,127.07051382655925
1713,수원,Suwon,01호선,P155,水原,スウォン,37.2515035095752,127.07133191773
1711,성균관대,Sungkyunkwan  Univ.,01호선,P153,成均?大?,ソンギュングァンデ,37.3003290017027,126.971022000022
1704,석수,Seoksu,01호선,P145,石水,ソッス,37.43509293822681,126.90232078368835
1703,금천구청,Geumcheon-Gu Office,01호선,P144,衿川??,クムチョングチョン,37.4561943743749,126.893608614581
1702,가산디지털단지,Gasan Digital Complex,01호선,P142,加山????,カサン·デジタルダンジ,37.4803959660982,126.882661758356
1408,신창,Sinchang,01호선,P177,新昌,シンチャン,36.7696422998843,126.951393082675
1022,창동,Chang-dong,01호선,116,?洞,チャンドン,37.6485426057036,127.03465609756
1823,도화,Dohwa,01호선,157,道禾,トファ,37.466819329634994,126.65749387411809
1822,중동,Jung-dong,01호선,149,中洞,チュンドン,37.50295164139924,126.77689833819102
1817,도원,Dowon,01호선,159,桃源,トウォン,37.46877255664296,126.64253515710824
1811,동인천,Dongincheon,01호선,160,?仁川,トンインチョン,37.4754032677399,126.63261605410459
1810,제물포,Jemulpo,01호선,158,?物浦,チェムルポ,37.466819329634994,126.65749387411809
1807,백운,Baegun,01호선,153,白云,ペグン,37.483342495597,126.707294407871
