연번,호선,역명,소요시간,역간거리(km),호선별누계(km),위도,경도
1,1,서울역,00:00,0.0,0.0,37.556228,126.972135
2,1,시청,02:00,1.1,1.1,37.565715,126.977088
3,1,종각,02:00,1.0,2.1,37.570161,126.982923
4,1,종로3가,01:30,0.8,2.9,37.570406,126.991847
5,1,종로5가,01:30,0.9,3.8,37.570926,127.001849
6,1,동대문,01:30,0.8,4.6,37.571687,127.01093
7,1,동묘앞,01:00,0.6,5.2,37.573197,127.01648
8,1,신설동,01:30,0.7,5.9,37.576048,127.024634
9,1,제기동,01:30,0.9,6.8,37.578103,127.034893
10,1,청량리,01:30,1.0,7.8,37.580037056302906,127.04472723023304
11,2,시청,00:00,0.0,0.0,37.565715,126.977088
12,2,을지로입구,01:30,0.7,0.7,37.566014,126.982618
13,2,을지로3가,01:00,0.8,1.5,37.566306,126.991696
14,2,을지로4가,01:00,0.6,2.1,37.566595,126.997817
15,2,동대문역사문화공원,01:30,1.0,3.1,37.565613,127.009054
16,2,신당,01:30,0.9,4.0,37.56564,127.019614
17,2,상왕십리,01:00,0.9,4.9,37.564354,127.029354
18,2,왕십리,01:00,0.8,5.7,37.561268363317176,127.03710337610202
19,2,한양대,01:30,1.0,6.7,37.555273,127.043655
20,2,뚝섬,01:30,1.1,7.8,37.547184,127.047367
21,2,성수,01:00,0.8,8.6,37.544581,127.055961
22,2,건대입구,01:30,1.2,9.8,37.540373,127.069191
23,2,구의,02:00,1.6,11.4,37.5351180385975,127.094741101863
24,2,강변,01:00,0.9,12.3,37.5351180385975,127.094741101863
25,2,잠실나루,02:00,1.8,14.1,37.520733,127.10379
26,2,잠실,01:30,1.0,15.1,37.5116263587296,127.086314327913
27,2,잠실새내,01:30,1.2,16.3,37.511687,127.086162
28,2,종합운동장,01:30,1.2,17.5,37.511022,127.073704
29,2,삼성,01:30,1.0,18.5,37.50887,127.06324
30,2,선릉,01:30,1.3,19.8,37.504286,127.048203
31,2,역삼,01:30,1.2,21.0,37.500622,127.036456
32,2,강남,01:00,0.8,21.8,37.49799,127.027912
33,2,교대,01:30,1.2,23.0,37.4927431676548,127.013867969161
34,2,서초,01:00,0.7,23.7,37.491897,127.007917
35,2,방배,02:00,1.7,25.4,37.481426,126.997596
36,2,사당,02:30,1.6,27.0,37.476538,126.981544
37,2,낙성대,02:00,1.7,28.7,37.47693,126.963693
38,2,서울대입구,01:30,1.0,29.7,37.4812845080678,126.952713197762
39,2,봉천,01:00,1.0,30.7,37.482362,126.941892
40,2,신림,01:30,1.1,31.8,37.484201,126.929715
41,2,신대방,02:00,1.8,33.6,37.487462,126.913149
42,2,구로디지털단지,01:30,1.1,34.7,37.485266,126.901401
43,2,대림,01:30,1.1,35.8,37.4928430008915,126.896722858042
44,2,신도림,02:30,1.8,37.6,37.508961,126.891084
45,2,문래,02:00,1.2,38.8,37.517933,126.89476
46,2,영등포구청,01:00,0.9,39.7,37.525706,126.89661
47,2,당산,01:30,1.1,40.8,37.534946,126.902767
48,2,합정,02:30,2.0,42.8,37.549457,126.913808
49,2,홍대입구,01:30,1.1,43.9,37.55679,126.923708
50,2,신촌,02:00,1.3,45.2,37.555131,126.936926
51,2,이대,01:00,0.8,46.0,37.556733,126.946013
52,2,아현,01:00,0.9,46.9,37.557345,126.956141
53,2,충정로,01:30,0.8,47.7,37.56042867918723,126.96303964820936
54,2,시청,01:30,1.1,48.8,37.565715,126.977088
55,2,용답,03:00,2.3,51.1,37.561904,127.050899
56,2,신답,01:30,1.0,52.1,37.57004,127.046481
57,2,용두,01:30,0.9,53.0,37.5740621283646,127.038275698211
58,2,신설동,01:30,1.2,54.2,37.576048,127.024634
59,2,도림천,01:30,1.0,55.2,37.514287,126.882768
60,2,양천구청,02:30,1.7,56.9,37.512398,126.865819
61,2,신정네거리,03:00,1.9,58.8,37.520074,126.852912
62,2,까치산,02:30,1.4,60.2,37.531768,126.846683
63,3,지축,00:00,0.0,0.0,37.648033,126.913917
64,3,구파발,03:00,1.5,1.5,37.636763,126.918821
65,3,연신내,02:00,2.0,3.5,37.619229,126.921038
66,3,불광,01:30,1.3,4.8,37.610553,126.92982
67,3,녹번,01:30,1.1,5.9,37.600927,126.935756
68,3,홍제,02:00,1.6,7.5,37.589066,126.943736
69,3,무악재,01:30,0.9,8.4,37.582299,126.950291
70,3,독립문,01:30,1.1,9.5,37.574571,126.957748
71,3,경복궁,02:00,1.6,11.1,37.5758061234865,126.973691352767
72,3,안국,01:30,1.1,12.2,37.576477,126.985443
73,3,종로3가,01:30,1.0,13.2,37.570406,126.991847
74,3,을지로3가,01:00,0.6,13.8,37.566306,126.991696
75,3,충무로,01:00,0.7,14.5,37.56143,126.994072
76,3,동대입구,01:30,0.9,15.4,37.559052,127.005602
77,3,약수,01:00,0.7,16.1,37.554867,127.010541
78,3,금호,01:00,0.8,16.9,37.548034,127.015872
79,3,옥수,01:00,0.8,17.7,37.541684,127.017269
80,3,압구정,02:00,2.1,19.8,37.527072,127.028461
81,3,신사,02:00,1.5,21.3,37.516334,127.020114
82,3,잠원,01:30,0.9,22.2,37.512759,127.01122
83,3,고속터미널,01:30,1.2,23.4,37.504891,127.004916
84,3,교대,02:00,1.6,25.0,37.4927431676548,127.013867969161
85,3,남부터미널,01:30,0.9,25.9,37.4851996335293,127.01620028391
86,3,양재,02:00,1.8,27.7,37.4834655780476,127.035154074503
87,3,매봉,02:00,1.2,28.9,37.486947,127.046769
88,3,도곡,01:30,0.8,29.7,37.490922,127.055452
89,3,대치,01:00,0.8,30.5,37.494612,127.063642
90,3,학여울,01:00,0.8,31.3,37.496663,127.070594
91,3,대청,01:30,0.9,32.2,37.493514,127.079532
92,3,일원,01:30,1.2,33.4,37.483681,127.08439
93,3,수서,02:00,1.8,35.2,37.487378,127.101907
94,3,가락시장,02:00,1.4,36.6,37.492245,127.117757
95,3,경찰병원,01:00,0.8,37.4,37.495918,127.12454
96,3,오금,01:00,0.8,38.2,37.502129,127.128319
97,4,당고개,00:00,0.0,0.0,37.670272,127.079066
98,4,상계,01:30,1.2,1.2,37.660878,127.073572
99,4,노원,01:30,1.0,2.2,37.65627,127.063276
100,4,창동,02:00,1.4,3.6,37.653088,127.047274
101,4,쌍문,01:30,1.3,4.9,37.648627,127.034709
102,4,수유,02:00,1.5,6.4,37.63788539420793,127.02550910860452
103,4,미아,01:30,1.4,7.8,37.61327836400571,127.03008663628454
104,4,미아사거리 ,02:00,1.5,9.3,37.613292,127.030053
105,4,길음,01:30,1.3,10.6,37.603407,127.025053
106,4,성신여대입구,02:00,1.4,12.0,37.59296812939267,127.0171260607647
107,4,한성대입구,01:30,1.0,13.0,37.58842461354086,127.0060178168558
108,4,혜화,01:30,0.9,13.9,37.582336,127.001844
109,4,동대문,02:00,1.5,15.4,37.571687,127.01093
110,4,동대문역사문화공원,01:00,0.7,16.1,37.565613,127.009054
111,4,충무로,02:00,1.3,17.4,37.56143,126.994072
112,4,명동,01:00,0.7,18.1,37.560989,126.986325
113,4,회현,01:00,0.7,18.8,37.55876114587941,126.9784372569283
114,4,서울역,01:30,0.9,19.7,37.556228,126.972135
115,4,숙대입구,01:30,1.0,20.7,37.5445952301115,126.972118127373
116,4,삼각지,01:30,1.2,21.9,37.534075,126.9726
117,4,신용산,01:00,0.7,22.6,37.52917,126.967894
118,4,이촌,01:30,1.3,23.9,37.52241291408466,126.973543820854
119,4,동작,03:00,2.7,26.6,37.47656223234824,126.98155858357366
120,4,총신대입구,02:30,1.8,28.4,37.4867995957995,126.982211871752
121,4,사당,01:30,1.1,29.5,37.476538,126.981544
122,4,남태령,01:30,1.6,31.1,37.463873,126.989134
123,5,방화,00:00,0.0,0.0,37.577446,126.812741
124,5,개화산,01:30,0.9,0.9,37.572399,126.806171
125,5,김포공항,01:40,1.2,2.1,37.5617,126.8041
126,5,송정,02:10,1.2,3.3,37.561184,126.811973
127,5,마곡,01:30,1.1,4.4,37.560183,126.825448
128,5,발산,01:40,1.2,5.6,37.558598,126.837668
129,5,우장산,01:30,1.1,6.7,37.548768,126.836318
130,5,화곡,01:30,1.0,7.7,37.541513,126.840461
131,5,까치산,01:30,1.2,8.9,37.531768,126.846683
132,5,신정,01:50,1.3,10.2,37.5202231231721,126.852889567642
133,5,목동,01:10,0.8,11.0,37.526065,126.864931
134,5,오목교,01:20,0.9,11.9,37.5245340839144,126.875307312696
135,5,양평,01:20,1.0,12.9,37.492773,127.491837
136,5,영등포구청,01:10,0.8,13.7,37.525706,126.89661
137,5,영등포시장,01:10,0.9,14.6,37.522669,126.905139
138,5,신길,01:30,1.1,15.7,37.516862,126.917865
139,5,여의도,01:30,1.0,16.7,37.521747,126.924357
140,5,여의나루,01:20,1.0,17.7,37.527098,126.932901
141,5,마포,02:00,1.8,19.5,37.539574,126.945932
142,5,공덕,01:10,0.8,20.3,37.542596,126.952099
143,5,애오개,01:20,1.1,21.4,37.553736,126.95682
144,5,충정로,01:20,0.9,22.3,37.56042867918723,126.96303964820936
145,5,서대문,01:00,0.7,23.0,37.565773,126.966641
146,5,광화문,01:30,1.1,24.1,37.57164860977568,126.97642427981408
147,5,종로3가,01:40,1.2,25.3,37.570406,126.991847
148,5,을지로4가,01:40,1.0,26.3,37.566595,126.997817
149,5,동대문역사문화공원,01:30,0.9,27.2,37.565613,127.009054
150,5,청구,01:20,0.9,28.1,37.560276,127.013639
151,5,신금호,01:30,0.9,29.0,37.554548,127.020331
152,5,행당,01:20,0.9,29.9,37.557322,127.029476
153,5,왕십리,01:10,0.9,30.8,37.561268363317176,127.03710337610202
154,5,마장,01:00,0.7,31.5,37.5661,127.042973
155,5,답십리,01:40,1.0,32.5,37.566747,127.052704
156,5,장한평,01:40,1.2,33.7,37.56144,127.064623
157,5,군자,01:40,1.5,35.2,37.55715148883792,127.0795106156054
158,5,아차산,01:30,1.0,36.2,37.55224917071854,127.08956495447912
159,5,광나루,01:50,1.5,37.7,37.5452991715677,127.103521464507
160,5,천호,02:10,2.0,39.7,37.5385112120297,127.12392845044
161,5,강동,01:10,0.8,40.5,37.535804,127.132481
162,5,길동,01:30,0.9,41.4,37.537801,127.140004
163,5,굽은다리,01:10,0.8,42.2,37.54551759022203,127.14288387331295
164,5,명일,01:10,0.8,43.0,37.55137,127.143999
165,5,고덕,01:40,1.2,44.2,37.555004,127.154151
166,5,상일동,01:40,1.1,45.3,37.556712,127.166417
167,5,강일,01:50,0.8,46.1,37.55749,127.17593
168,5,미사,01:50,1.7,47.8,37.560927,127.193877
169,5,하남풍산,02:30,2.1,49.9,37.552034,127.203864
170,5,하남시청,01:50,1.3,51.2,37.5419775122576,127.206298162203
171,5,하남검단산,02:30,1.6,52.8,37.53972,127.22345
172,5,둔촌동,01:50,1.2,54.0,37.527788,127.136248
173,5,올림픽공원,01:40,1.4,55.4,37.5163389870117,127.130963675401
174,5,방이,01:20,0.8,56.2,37.508857,127.126133
175,5,오금,01:20,0.9,57.1,37.502129,127.128319
176,5,개롱,01:10,0.9,58.0,37.498079,127.13482
177,5,거여,01:20,0.9,58.9,37.493105,127.14415
178,5,마천,01:30,0.9,59.8,37.49499,127.152781
179,6,응암,00:00,0.0,0.0,37.598605,126.915577
180,6,역촌,01:40,1.1,1.1,37.606021,126.922744
181,6,불광,01:20,0.8,1.9,37.610553,126.92982
182,6,독바위,01:20,0.9,2.8,37.618456,126.933031
183,6,연신내,02:10,1.4,4.2,37.619229,126.921038
184,6,구산,01:20,0.9,5.1,37.611377,126.91727
185,6,응암,02:00,1.5,6.6,37.598605,126.915577
186,6,새절,01:20,0.9,7.5,37.5908600479967,126.913580663181
187,6,증산,01:20,0.9,8.4,37.57601374718818,126.90127778415636
188,6,디지털미디어시티,01:20,1.1,9.5,37.577475,126.900453
189,6,월드컵경기장,01:10,0.8,10.3,37.5696355653344,126.899098148061
